"PDF","PMID","OUTCOME","COMMENTS","PAGE","LAYOUT","ARMS","ARMS_WITH_N","LINES","VARIABLES","CONTINUOUS","SKIPPED","SECONDS"
"Anaesthesia/2003/1.2.pdf",NA,"successfully parsed","Table page 17 (columns layout); 2 arm(s), 2 with N; 20 table lines -> 10 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 3.1 s",17,"columns",2,2,20,10,0,4,3.11
"Anaesthesia/2003/10.1.pdf",NA,"successfully parsed","Table page 8 (columns layout); 4 arm(s), 2 with N; 14 table lines -> 5 variables (3 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.8 s",8,"columns",4,2,14,5,3,3,1.83
"Anaesthesia/2003/11.1.pdf",NA,"successfully parsed","Table page 12 (single layout); 2 arm(s), 2 with N; 26 table lines -> 14 variables (14 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.7 s",12,"single",2,2,26,14,14,3,1.67
"Anaesthesia/2003/2.4.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 19 table lines -> 10 variables (0 continuous rows); 15 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",2,2,19,10,0,15,1.09
"Anaesthesia/2003/2.5.pdf",NA,"successfully parsed","Table page 18 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (2 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 2.0 s",18,"columns",2,2,6,3,2,1,2
"Anaesthesia/2003/3.2.pdf",NA,"successfully parsed","Table page 8 (single layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (0 continuous rows); 9 line(s) skipped as unusable; heuristic engine, 1.9 s",8,"single",2,2,6,3,0,9,1.89
"Anaesthesia/2003/4.1.pdf",NA,"successfully parsed","Table page 6 (single layout); 2 arm(s), 0 with N; 21 table lines -> 20 variables (20 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 2.1 s",6,"single",2,0,21,20,20,4,2.14
"Anaesthesia/2003/5.3.pdf",NA,"successfully parsed","Table page 2 (columns layout); 1 arm(s), 0 with N; 16 table lines -> 16 variables (16 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.1 s",2,"columns",1,0,16,16,16,2,1.07
"Anaesthesia/2003/7.2.pdf",NA,"successfully parsed","Table page 18 (columns layout); 1 arm(s), 1 with N; 6 table lines -> 6 variables (6 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 2.4 s",18,"columns",1,1,6,6,6,3,2.44
"Anaesthesia/2003/8.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2003/8.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.76
"Anaesthesia/2003/8.3.pdf",NA,"successfully parsed","Table page 3 (single layout); 1 arm(s), 0 with N; 1 table lines -> 1 variables (1 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",1,0,1,1,1,1,0.97
"Anaesthesia/2003/8.4.pdf",NA,"successfully parsed","Table page 26 (columns layout); 1 arm(s), 1 with N; 5 table lines -> 5 variables (5 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 2.4 s",26,"columns",1,1,5,5,5,2,2.4
"Anaesthesia/2003/9.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2003/9.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.93
"Anaesthesia/2003/9.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.7 s",2,"columns",2,0,2,1,0,2,0.7
"Anaesthesia/2003/9.4.pdf",NA,"successfully parsed","Table page 28 (columns layout); 2 arm(s), 2 with N; 10 table lines -> 5 variables (5 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 3.2 s",28,"columns",2,2,10,5,5,1,3.23
"Anaesthesia/2004/1.2.pdf",NA,"successfully parsed","Table page 5 (columns layout); 4 arm(s), 4 with N; 8 table lines -> 2 variables (2 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.0 s",5,"columns",4,4,8,2,2,0,1.04
"Anaesthesia/2004/10.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 2 with N; 1 table lines -> 1 variables (0 continuous rows); 6 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"single",3,2,1,1,0,6,0.85
"Anaesthesia/2004/11.3.pdf",NA,"successfully parsed","Table page 3 (columns layout); 5 arm(s), 2 with N; 15 table lines -> 8 variables (3 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",5,2,15,8,3,2,0.97
"Anaesthesia/2004/11.4.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 12 table lines -> 6 variables (6 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,0,12,6,6,2,0.8
"Anaesthesia/2004/4.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 2 with N; 1 table lines -> 1 variables (0 continuous rows); 26 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",3,2,1,1,0,26,0.98
"Anaesthesia/2004/5.1.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 5 table lines -> 4 variables (3 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.0 s",2,"columns",2,0,5,4,3,5,1.05
"Anaesthesia/2004/7.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2004/7.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.74
"Anaesthesia/2004/7.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 3 with N; 12 table lines -> 4 variables (4 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"columns",3,3,12,4,4,2,0.85
"Anaesthesia/2004/7.3.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2004/7.3.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.65
"Anaesthesia/2004/7.4.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 2 with N; 24 table lines -> 8 variables (0 continuous rows); 15 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",3,2,24,8,0,15,1.15
"Anaesthesia/2004/9.6.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (3 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.9 s",2,"columns",2,2,6,3,3,3,0.87
"Anaesthesia/2005/10.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 4 arm(s), 0 with N; 4 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"single",4,0,4,1,0,1,1.02
"Anaesthesia/2005/4.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 5 arm(s), 0 with N; 5 table lines -> 1 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"single",5,0,5,1,0,3,0.82
"Anaesthesia/2005/5.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 6 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,2,2,1,0,6,0.8
"Anaesthesia/2005/6.2.pdf",NA,"successfully parsed","Table page 4 (single layout); 4 arm(s), 3 with N; 4 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"single",4,3,4,1,0,2,1
"Anaesthesia/2005/9.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 3 with N; 3 table lines -> 1 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"single",3,3,3,1,0,4,0.71
"Anaesthesia/2006/1.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 3 arm(s), 3 with N; 12 table lines -> 4 variables (4 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",3,3,12,4,4,2,0.85
"Anaesthesia/2006/11.1.pdf",NA,"successfully parsed","Table page 6 (columns layout); 3 arm(s), 0 with N; 6 table lines -> 2 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.1 s",6,"columns",3,0,6,2,0,3,1.07
"Anaesthesia/2006/12.1.pdf",NA,"successfully parsed","Table page 2 (columns layout); 1 arm(s), 0 with N; 1 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.0 s",2,"columns",1,0,1,1,0,1,1
"Anaesthesia/2006/12.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,2,2,1,0,2,0.76
"Anaesthesia/2006/2.2.pdf",NA,"successfully parsed","Table page 3 (single layout); 5 arm(s), 0 with N; 9 table lines -> 4 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"single",5,0,9,4,0,1,0.81
"Anaesthesia/2006/5.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (3 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,2,6,3,3,1,0.77
"Anaesthesia/2006/6.1.pdf",NA,"successfully parsed","Table page 5 (single layout); 4 arm(s), 2 with N; 28 table lines -> 7 variables (0 continuous rows); 9 line(s) skipped as unusable; heuristic engine, 1.3 s",5,"single",4,2,28,7,0,9,1.29
"Anaesthesia/2006/6.2.pdf",NA,"successfully parsed","Table page 5 (single layout); 4 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.2 s",5,"single",4,2,2,1,0,5,1.17
"Anaesthesia/2007/6.1.pdf",NA,"not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.09
"Anaesthesia/2007/6.3.pdf",NA,"not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.16
"Anaesthesia/2007/7.2.pdf",NA,"not successfully parsed","Failed at table-page identification: the parser process did not finish within 40s, or crashed",NA,NA,NA,NA,0,0,0,NA,40.13
"Anaesthesia/2008/9.1.pdf",NA,"successfully parsed","Table page 4 (columns layout); 3 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",4,"columns",3,0,3,1,0,1,1.13
"Anaesthesia/2009/1.2.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 0 with N; 7 table lines -> 4 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",2,"columns",2,0,7,4,0,2,0.77
"Anaesthesia/2009/2.2.pdf",NA,"successfully parsed","Table page 3 (single layout); 4 arm(s), 2 with N; 28 table lines -> 14 variables (12 continuous rows); 10 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",4,2,28,14,12,10,1.03
"Anaesthesia/2009/3.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 1 arm(s), 0 with N; 1 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",4,"single",1,0,1,1,0,1,1.1
"Anaesthesia/2009/6.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.3 s",3,"columns",3,0,3,1,0,5,1.27
"Anaesthesia/2009/7.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 6 arm(s), 0 with N; 6 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"single",6,0,6,1,0,2,1.23
"Anaesthesia/2010/12.4.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 2 with N; 9 table lines -> 4 variables (0 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",3,2,9,4,0,7,0.99
"Anaesthesia/2010/2.2.pdf",NA,"successfully parsed","Table page 5 (single layout); 4 arm(s), 4 with N; 59 table lines -> 16 variables (16 continuous rows); 6 line(s) skipped as unusable; heuristic engine, 1.6 s",5,"single",4,4,59,16,16,6,1.59
"Anaesthesia/2010/7.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2010/7.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,1.1
"Anaesthesia/2010/9.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anaesthesia/2010/9.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,1.04
"Anaesthesia/2011/4.3.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 2 with N; 13 table lines -> 7 variables (0 continuous rows); 8 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"columns",3,2,13,7,0,8,0.7
"Anaesthesia/2012/2.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 2 with N; 20 table lines -> 9 variables (0 continuous rows); 16 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",3,2,20,9,0,16,1.05
"Anaesthesia/2012/3.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 6 arm(s), 2 with N; 18 table lines -> 7 variables (3 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",6,2,18,7,3,0,1
"Anaesthesia/2012/3.4.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 2 with N; 31 table lines -> 14 variables (0 continuous rows); 25 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",3,2,31,14,0,25,1.05
"Anesthesiology/2003/1.2.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 3 with N; 6 table lines -> 2 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"single",3,3,6,2,0,3,1.19
"Anesthesiology/2003/1.9.pdf",NA,"successfully parsed","Table page 3 (single layout); 2 arm(s), 0 with N; 9 table lines -> 5 variables (5 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",2,0,9,5,5,0,1.04
"Anesthesiology/2003/10.4.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 3 table lines -> 3 variables (3 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",2,2,3,3,3,1,0.96
"Anesthesiology/2003/11.1.pdf",NA,"successfully parsed","Table page 2 (single layout); 4 arm(s), 4 with N; 12 table lines -> 3 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.0 s",2,"single",4,4,12,3,0,5,0.98
"Anesthesiology/2003/2.4.pdf",NA,"successfully parsed","Table page 3 (single layout); 2 arm(s), 0 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"single",2,0,2,1,0,2,0.93
"Anesthesiology/2003/2.5.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 3 with N; 12 table lines -> 4 variables (4 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 0.7 s",3,"single",3,3,12,4,4,0,0.7
"Anesthesiology/2003/3.1.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 0 with N; 4 table lines -> 2 variables (2 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",2,0,4,2,2,1,1.07
"Anesthesiology/2003/5.4.pdf",NA,"successfully parsed","Table page 3 (single layout); 2 arm(s), 0 with N; 12 table lines -> 6 variables (6 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",2,0,12,6,6,2,0.98
"Anesthesiology/2003/6.5.pdf",NA,"successfully parsed","Table page 3 (columns layout); 4 arm(s), 3 with N; 13 table lines -> 4 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"columns",4,3,13,4,0,3,0.92
"Anesthesiology/2003/7.4.pdf",NA,"successfully parsed","Table page 3 (single layout); 5 arm(s), 0 with N; 57 table lines -> 12 variables (12 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"single",5,0,57,12,12,1,1.07
"Anesthesiology/2003/7.6.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 0 with N; 4 table lines -> 2 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"columns",2,0,4,2,0,3,1.19
"Anesthesiology/2003/8.1.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"columns",2,2,2,1,0,4,0.97
"Anesthesiology/2003/9.2.pdf",NA,"successfully parsed","Table page 5 (single layout); 5 arm(s), 4 with N; 4 table lines -> 1 variables (0 continuous rows); 12 line(s) skipped as unusable; heuristic engine, 1.3 s",5,"single",5,4,4,1,0,12,1.31
"Anesthesiology/2004/10.1.pdf",NA,"successfully parsed","Table page 6 (single layout); 7 arm(s), 7 with N; 58 table lines -> 10 variables (10 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.5 s",6,"single",7,7,58,10,10,1,1.54
"Anesthesiology/2004/10.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 0 with N; 6 table lines -> 3 variables (2 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 0.8 s",3,"columns",2,0,6,3,2,2,0.85
"Anesthesiology/2004/11.1.pdf",NA,"successfully parsed","Table page 7 (single layout); 5 arm(s), 0 with N; 10 table lines -> 2 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.3 s",7,"single",5,0,10,2,0,2,1.26
"Anesthesiology/2004/11.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2004/11.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.94
"Anesthesiology/2004/11.3.pdf",NA,"successfully parsed","Table page 3 (single layout); 6 arm(s), 0 with N; 17 table lines -> 3 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"single",6,0,17,3,0,3,1.07
"Anesthesiology/2004/12.3.pdf",NA,"successfully parsed","Table page 6 (columns layout); 2 arm(s), 0 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.2 s",6,"columns",2,0,2,1,0,2,1.21
"Anesthesiology/2004/12.5.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 2 with N; 5 table lines -> 2 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"columns",3,2,5,2,0,4,1.07
"Anesthesiology/2004/4.6.pdf",NA,"successfully parsed","Table page 3 (single layout); 4 arm(s), 4 with N; 20 table lines -> 5 variables (5 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",4,4,20,5,5,7,1.01
"Anesthesiology/2004/5.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 3 arm(s), 0 with N; 6 table lines -> 2 variables (0 continuous rows); 14 line(s) skipped as unusable; heuristic engine, 1.4 s",4,"single",3,0,6,2,0,14,1.37
"Anesthesiology/2004/6.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2004/6.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,1.09
"Anesthesiology/2004/7.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2004/7.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.89
"Anesthesiology/2004/7.5.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 0 with N; 30 table lines -> 10 variables (10 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.1 s",3,"single",3,0,30,10,10,1,1.1
"Anesthesiology/2004/9.2.pdf",NA,"successfully parsed","Table page 5 (columns layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.4 s",5,"columns",2,2,2,1,0,2,1.41
"Anesthesiology/2004/9.5.pdf",NA,"successfully parsed","Table page 7 (columns layout); 3 arm(s), 0 with N; 63 table lines -> 21 variables (21 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.7 s",7,"columns",3,0,63,21,21,0,1.66
"Anesthesiology/2005/1.2.pdf",NA,"successfully parsed","Table page 3 (single layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"single",2,2,2,1,0,1,0.92
"Anesthesiology/2005/1.3.pdf",NA,"successfully parsed","Table page 6 (columns layout); 4 arm(s), 0 with N; 6 table lines -> 2 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.2 s",6,"columns",4,0,6,2,0,1,1.23
"Anesthesiology/2005/10.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (3 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"columns",2,2,6,3,3,3,1.19
"Anesthesiology/2005/10.3.pdf",NA,"successfully parsed","Table page 6 (single layout); 1 arm(s), 0 with N; 1 table lines -> 1 variables (0 continuous rows); 12 line(s) skipped as unusable; heuristic engine, 1.6 s",6,"single",1,0,1,1,0,12,1.58
"Anesthesiology/2005/12.1.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2005/12.1.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.98
"Anesthesiology/2005/12.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 8 table lines -> 3 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"columns",3,0,8,3,0,3,1.16
"Anesthesiology/2005/12.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 4 arm(s), 3 with N; 12 table lines -> 3 variables (0 continuous rows); 13 line(s) skipped as unusable; heuristic engine, 1.3 s",4,"single",4,3,12,3,0,13,1.28
"Anesthesiology/2005/12.6.pdf",NA,"successfully parsed","Table page 6 (columns layout); 2 arm(s), 2 with N; 8 table lines -> 4 variables (2 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.1 s",6,"columns",2,2,8,4,2,0,1.09
"Anesthesiology/2005/3.1.pdf",NA,"successfully parsed","Table page 4 (columns layout); 2 arm(s), 0 with N; 8 table lines -> 4 variables (4 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.0 s",4,"columns",2,0,8,4,4,0,1.03
"Anesthesiology/2005/4.3.pdf",NA,"successfully parsed","Table page 2 (single layout); 4 arm(s), 0 with N; 4 table lines -> 2 variables (0 continuous rows); 1 line(s) skipped as unusable; heuristic engine, 1.5 s",2,"single",4,0,4,2,0,1,1.53
"Anesthesiology/2005/5.1.pdf",NA,"successfully parsed","Table page 3 (single layout); 3 arm(s), 0 with N; 20 table lines -> 7 variables (6 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 1.0 s",3,"single",3,0,20,7,6,7,1.03
"Anesthesiology/2005/5.5.pdf",NA,"successfully parsed","Table page 4 (columns layout); 2 arm(s), 0 with N; 6 table lines -> 3 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.2 s",4,"columns",2,0,6,3,0,2,1.21
"Anesthesiology/2005/7.3.pdf",NA,"successfully parsed","Table page 2 (columns layout); 2 arm(s), 2 with N; 2 table lines -> 1 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.7 s",2,"columns",2,2,2,1,0,3,0.72
"Anesthesiology/2005/7.4.pdf",NA,"successfully parsed","Table page 5 (columns layout); 3 arm(s), 3 with N; 3 table lines -> 1 variables (1 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.2 s",5,"columns",3,3,3,1,1,3,1.2
"Anesthesiology/2005/9.5.pdf",NA,"successfully parsed","Table page 4 (single layout); 3 arm(s), 3 with N; 21 table lines -> 7 variables (0 continuous rows); 5 line(s) skipped as unusable; heuristic engine, 1.4 s",4,"single",3,3,21,7,0,5,1.42
"Anesthesiology/2006/11.3.pdf",NA,"successfully parsed","Table page 3 (columns layout); 3 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 4 line(s) skipped as unusable; heuristic engine, 1.2 s",3,"columns",3,0,3,1,0,4,1.19
"Anesthesiology/2006/2.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2006/2.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,1.02
"Anesthesiology/2006/3.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 3 arm(s), 0 with N; 3 table lines -> 1 variables (0 continuous rows); 2 line(s) skipped as unusable; heuristic engine, 1.3 s",4,"single",3,0,3,1,0,2,1.33
"Anesthesiology/2007/1.2.pdf",NA,"successfully parsed","Table page 4 (single layout); 4 arm(s), 0 with N; 14 table lines -> 4 variables (4 continuous rows); 0 line(s) skipped as unusable; heuristic engine, 1.4 s",4,"single",4,0,14,4,4,0,1.45
"Anesthesiology/2007/10.2.pdf",NA,"successfully parsed","Table page 4 (single layout); 5 arm(s), 0 with N; 29 table lines -> 6 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.1 s",4,"single",5,0,29,6,0,3,1.09
"Anesthesiology/2007/2.3.pdf",NA,"successfully parsed","Table page 4 (single layout); 7 arm(s), 0 with N; 24 table lines -> 4 variables (4 continuous rows); 7 line(s) skipped as unusable; heuristic engine, 1.2 s",4,"single",7,0,24,4,4,7,1.17
"Anesthesiology/2007/3.3.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2007/3.3.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.95
"Anesthesiology/2007/4.1.pdf",NA,"successfully parsed","Table page 8 (single layout); 9 arm(s), 0 with N; 126 table lines -> 18 variables (18 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 1.9 s",8,"single",9,0,126,18,18,3,1.89
"Anesthesiology/2007/4.2.pdf",NA,"successfully parsed","Table page 3 (columns layout); 2 arm(s), 2 with N; 6 table lines -> 3 variables (0 continuous rows); 3 line(s) skipped as unusable; heuristic engine, 0.9 s",3,"columns",2,2,6,3,0,3,0.9
"Anesthesiology/2007/5.2.pdf",NA,"not successfully parsed","Failed at table-page identification: No usable baseline table could be parsed from C:/temp/journals/Anesthesiology/2007/5.2.pdf. Try the `pages` or `layout` argument, or ai = ""always"".",NA,NA,NA,NA,0,0,0,NA,0.8
