              seed   trueBest   trueWorst selectedTrue shortfall      pBest
170,160,170      1 0.03366262 0.003409528   0.03366262         0 0.03412329
170,160,1701     2 0.03366262 0.003409528   0.03366262         0 0.03522324
170,160,1702     3 0.03366262 0.003409528   0.03366262         0 0.03327334
170,160,1703     4 0.03366262 0.003409528   0.03366262         0 0.03499825
170,160,1704     5 0.03366262 0.003409528   0.03366262         0 0.03204840
170,160,1705     6 0.03366262 0.003409528   0.03366262         0 0.03392330
170,160,1706     7 0.03366262 0.003409528   0.03366262         0 0.03247338
170,160,1707     8 0.03366262 0.003409528   0.03366262         0 0.03247338
170,160,1708     9 0.03366262 0.003409528   0.03366262         0 0.03384831
170,160,1709    10 0.03366262 0.003409528   0.03366262         0 0.03397330
170,160,17010   11 0.03366262 0.003409528   0.03366262         0 0.03454827
170,160,17011   12 0.03366262 0.003409528   0.03366262         0 0.03269837
170,160,17012   13 0.03366262 0.003409528   0.03366262         0 0.03224839
170,160,17013   14 0.03366262 0.003409528   0.03366262         0 0.03392330
170,160,17014   15 0.03366262 0.003409528   0.03366262         0 0.03424829
170,160,17015   16 0.03366262 0.003409528   0.03366262         0 0.03369832
170,160,17016   17 0.03366262 0.003409528   0.03366262         0 0.03532323
170,160,17017   18 0.03366262 0.003409528   0.03366262         0 0.03392330
170,160,17018   19 0.03366262 0.003409528   0.03366262         0 0.03494825
170,160,17019   20 0.03366262 0.003409528   0.03366262         0 0.03332333
170,160,17020   21 0.03366262 0.003409528   0.03366262         0 0.03349833
170,160,17021   22 0.03366262 0.003409528   0.03366262         0 0.03277336
170,160,17022   23 0.03366262 0.003409528   0.03366262         0 0.03352332
170,160,17023   24 0.03366262 0.003409528   0.03366262         0 0.03562322
170,160,17024   25 0.03366262 0.003409528   0.03366262         0 0.03254837
170,160,17025   26 0.03366262 0.003409528   0.03366262         0 0.03347333
170,160,17026   27 0.03366262 0.003409528   0.03366262         0 0.03227339
170,160,17027   28 0.03366262 0.003409528   0.03366262         0 0.03379831
170,160,17028   29 0.03366262 0.003409528   0.03366262         0 0.03382331
170,160,17029   30 0.03366262 0.003409528   0.03366262         0 0.03347333
170,160,17030   31 0.03366262 0.003409528   0.03366262         0 0.03604820
170,160,17031   32 0.03366262 0.003409528   0.03366262         0 0.03259837
170,160,17032   33 0.03366262 0.003409528   0.03366262         0 0.03374831
170,160,17033   34 0.03366262 0.003409528   0.03366262         0 0.03579821
170,160,17034   35 0.03366262 0.003409528   0.03366262         0 0.03204840
170,160,17035   36 0.03366262 0.003409528   0.03366262         0 0.03399830
170,160,17036   37 0.03366262 0.003409528   0.03366262         0 0.03167342
170,160,17037   38 0.03366262 0.003409528   0.03366262         0 0.03399830
170,160,17038   39 0.03366262 0.003409528   0.03366262         0 0.03314834
170,160,17039   40 0.03366262 0.003409528   0.03366262         0 0.03607320
170,160,17040   41 0.03366262 0.003409528   0.03366262         0 0.03349833
170,160,17041   42 0.03366262 0.003409528   0.03366262         0 0.03354832
170,160,17042   43 0.03366262 0.003409528   0.03366262         0 0.03627319
170,160,17043   44 0.03366262 0.003409528   0.03366262         0 0.03384831
170,160,17044   45 0.03366262 0.003409528   0.03366262         0 0.03447328
170,160,17045   46 0.03366262 0.003409528   0.03366262         0 0.03502325
170,160,17046   47 0.03366262 0.003409528   0.03366262         0 0.03434828
170,160,17047   48 0.03366262 0.003409528   0.03366262         0 0.03334833
170,160,17048   49 0.03366262 0.003409528   0.03366262         0 0.03452327
170,160,17049   50 0.03366262 0.003409528   0.03366262         0 0.03452327
170,160,17050   51 0.03366262 0.003409528   0.03366262         0 0.03527324
170,160,17051   52 0.03366262 0.003409528   0.03366262         0 0.03327334
170,160,17052   53 0.03366262 0.003409528   0.03366262         0 0.03419829
170,160,17053   54 0.03366262 0.003409528   0.03366262         0 0.03722314
170,160,17054   55 0.03366262 0.003409528   0.03366262         0 0.03407330
170,160,17055   56 0.03366262 0.003409528   0.03366262         0 0.03552322
170,160,17056   57 0.03366262 0.003409528   0.03366262         0 0.03324834
170,160,17057   58 0.03366262 0.003409528   0.03366262         0 0.03437328
170,160,17058   59 0.03366262 0.003409528   0.03366262         0 0.03612319
170,160,17059   60 0.03366262 0.003409528   0.03366262         0 0.03457327
                   pWorst straddles budget seconds
170,160,170   0.003099845      TRUE  20000    0.60
170,160,1701  0.003399830      TRUE  20000    0.72
170,160,1702  0.003424829      TRUE  20000    1.00
170,160,1703  0.003199840      TRUE  20000    0.76
170,160,1704  0.003099845      TRUE  20000    0.75
170,160,1705  0.002998501      TRUE  20000    0.82
170,160,1706  0.002998501      TRUE  20000    0.75
170,160,1707  0.002949853      TRUE  20000    0.70
170,160,1708  0.002748626      TRUE  20000    0.74
170,160,1709  0.003248376      TRUE  20000    0.84
170,160,17010 0.002799860      TRUE  20000    0.84
170,160,17011 0.002699865      TRUE  20000    0.81
170,160,17012 0.003249838      TRUE  20000    0.69
170,160,17013 0.003124844      TRUE  20000    0.66
170,160,17014 0.003324834      TRUE  20000    0.72
170,160,17015 0.003074846      TRUE  20000    0.82
170,160,17016 0.002824859      TRUE  20000    0.71
170,160,17017 0.002874856      TRUE  20000    0.75
170,160,17018 0.003199840      TRUE  20000    0.78
170,160,17019 0.002799860      TRUE  20000    0.80
170,160,17020 0.002998501      TRUE  20000    0.58
170,160,17021 0.003249838      TRUE  20000    0.53
170,160,17022 0.002998501      TRUE  20000    0.54
170,160,17023 0.003099845      TRUE  20000    0.60
170,160,17024 0.002799860      TRUE  20000    0.56
170,160,17025 0.002599870      TRUE  20000    0.56
170,160,17026 0.002998501      TRUE  20000    0.54
170,160,17027 0.003049848      TRUE  20000    0.74
170,160,17028 0.002998501      TRUE  20000    0.58
170,160,17029 0.002999850      TRUE  20000    0.58
170,160,17030 0.003274836      TRUE  20000    0.58
170,160,17031 0.003099845      TRUE  20000    0.59
170,160,17032 0.002999850      TRUE  20000    0.56
170,160,17033 0.002949853      TRUE  20000    0.56
170,160,17034 0.003124844      TRUE  20000    0.56
170,160,17035 0.003149843      TRUE  20000    0.51
170,160,17036 0.003174841      TRUE  20000    0.64
170,160,17037 0.003149843      TRUE  20000    0.53
170,160,17038 0.003124844      TRUE  20000    0.53
170,160,17039 0.002924854      TRUE  20000    0.55
170,160,17040 0.003124844      TRUE  20000    0.56
170,160,17041 0.003149843      TRUE  20000    0.56
170,160,17042 0.002974851      TRUE  20000    0.54
170,160,17043 0.003024849      TRUE  20000    0.61
170,160,17044 0.003049848      TRUE  20000    0.64
170,160,17045 0.002998501      TRUE  20000    0.57
170,160,17046 0.003024849      TRUE  20000    0.54
170,160,17047 0.003024849      TRUE  20000    0.55
170,160,17048 0.003149843      TRUE  20000    0.53
170,160,17049 0.002899855      TRUE  20000    0.53
170,160,17050 0.002574871      TRUE  20000    0.56
170,160,17051 0.003049848      TRUE  20000    0.55
170,160,17052 0.003149843      TRUE  20000    0.55
170,160,17053 0.002749863      TRUE  20000    0.64
170,160,17054 0.002374881      TRUE  20000    0.53
170,160,17055 0.003149843      TRUE  20000    0.52
170,160,17056 0.002998501      TRUE  20000    0.54
170,160,17057 0.003248376      TRUE  20000    0.55
170,160,17058 0.003224839      TRUE  20000    0.56
170,160,17059 0.002998501      TRUE  20000    0.55
Shortfall distribution:
  0%  25%  50%  75%  90%  95% 100% 
   0    0    0    0    0    0    0 
Winners at coarse budget: 0 of 60 ; suboptimal: 0 ; missed straddles: 0 
