"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","A","0.3375","0 to 0.7","1000","attainable floor","variable"
NA,"B","0.2575","0 to 0.55","1000","","variable"
NA,"C","0.8265","0.7 to 0.94","1000","","variable"
NA,"Summary","0.435","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
