"input","engine","reference","error"
"0.5;0.5",0.5,0.5,1.11022302462516e-16
"0.02;0.03;0.04",0.000514695371488976,0.000514695371488738,2.38199217295065e-16
"1e-04;0.2;0.9",0.0291668834418407,0.0291668834418465,-5.82520143233012e-15
"0.01;0.99",0.5,0.500000000000001,-1.33226762955019e-15
