"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Category","0.214","0.088 to 0.35","1000","","variable"
NA,"Summary","0.214","0.088 to 0.35",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
