"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","A","0.02292","0.02 to 0.026","1e+05","","variable"
NA,"B","0.0612","0.057 to 0.065","1e+05","","variable"
NA,"Summary","0.005775","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
