"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","A","0.0205","0.0099 to 0.036","1000","","variable"
NA,"B","0.051","0.036 to 0.07","1000","","variable"
NA,"Summary","0.0045","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
