"statistic","probability"
15,0.0001998001998002
8.88888888889,0.002997002997003
8.88888888889,0.002997002997003
7.22222222222,0.00599400599400599
4.44444444444,0.017982017982018
7.22222222222,0.00599400599400599
10,0.00199800199800199
4.44444444444,0.017982017982018
4.44444444444,0.017982017982018
10,0.00199800199800199
8.88888888889,0.002997002997003
6.11111111111,0.00899100899100898
8.88888888889,0.002997002997003
12.22222222222,0.000599400599400599
12.22222222222,0.000599400599400599
9.09722222222,0.00239760239760239
9.09722222222,0.00239760239760239
5.76388888889,0.011988011988012
2.98611111111,0.0359640359640359
5.76388888889,0.011988011988012
6.875,0.00799200799200798
1.31944444444,0.0719280719280719
1.31944444444,0.0719280719280719
6.875,0.00799200799200798
4.09722222222,0.023976023976024
1.31944444444,0.0719280719280719
4.09722222222,0.023976023976024
5.76388888889,0.011988011988012
5.76388888889,0.011988011988012
11.875,0.000799200799200799
8.05555555556,0.0035964035964036
5.27777777778,0.0107892107892108
8.05555555556,0.0035964035964036
7.5,0.00599400599400599
1.94444444444,0.0539460539460539
1.94444444444,0.0539460539460539
7.5,0.00599400599400599
3.05555555556,0.0359640359640359
0.27777777778,0.107892107892108
3.05555555556,0.0359640359640359
3.05555555556,0.0359640359640359
3.05555555556,0.0359640359640359
7.5,0.00599400599400599
11.875,0.000799200799200799
6.31944444444,0.00719280719280719
6.31944444444,0.00719280719280719
11.875,0.000799200799200799
5.76388888889,0.011988011988012
2.98611111111,0.0359640359640359
5.76388888889,0.011988011988012
4.09722222222,0.023976023976024
4.09722222222,0.023976023976024
6.875,0.00799200799200798
12.22222222222,0.000599400599400599
9.44444444444,0.0017982017982018
12.22222222222,0.000599400599400599
8.88888888889,0.002997002997003
8.88888888889,0.002997002997003
10,0.00199800199800199
