"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.2502","0 to 0.51","10000","attainable floor","variable"
NA,"V02","0.2537","0 to 0.52","10000","attainable floor","variable"
NA,"V03","0.2499","0 to 0.51","10000","attainable floor","variable"
NA,"V04","0.2496","0 to 0.51","10000","attainable floor","variable"
NA,"V05","0.7482","0.49 to 1","10000","","variable"
NA,"V06","0.2492","0 to 0.51","10000","attainable floor","variable"
NA,"V07","0.249","0 to 0.51","10000","attainable floor","variable"
NA,"V08","0.2541","0 to 0.52","10000","attainable floor","variable"
NA,"V09","0.2516","0 to 0.51","10000","attainable floor","variable"
NA,"Summary","0.01395","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
