"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","V01","0.8328","0.66 to 1","1e+05","","variable"
NA,"V02","0.3321","0 to 0.67","1e+05","attainable floor","variable"
NA,"V03","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V04","0.3336","0 to 0.67","1e+05","attainable floor","variable"
NA,"V05","0.3344","0 to 0.67","1e+05","attainable floor","variable"
NA,"V06","0.3322","0 to 0.67","1e+05","attainable floor","variable"
NA,"V07","0.3327","0 to 0.67","1e+05","attainable floor","variable"
NA,"V08","0.3322","0 to 0.67","1e+05","attainable floor","variable"
NA,"V09","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V10","0.3337","0 to 0.67","1e+05","attainable floor","variable"
NA,"V11","0.3344","0 to 0.67","1e+05","attainable floor","variable"
NA,"V12","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V13","0.3335","0 to 0.67","1e+05","attainable floor","variable"
NA,"V14","0.3314","0 to 0.67","1e+05","attainable floor","variable"
NA,"V15","0.3333","0 to 0.67","1e+05","attainable floor","variable"
NA,"V16","0.3333","0 to 0.67","1e+05","attainable floor","variable"
NA,"V17","0.3321","0 to 0.67","1e+05","attainable floor","variable"
NA,"V18","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V19","0.3341","0 to 0.67","1e+05","attainable floor","variable"
NA,"V20","0.3331","0 to 0.67","1e+05","attainable floor","variable"
NA,"V21","0.3339","0 to 0.67","1e+05","attainable floor","variable"
NA,"V22","0.3339","0 to 0.67","1e+05","attainable floor","variable"
NA,"V23","0.333","0 to 0.67","1e+05","attainable floor","variable"
NA,"Summary","0.00041","0.00029 to 0.00057",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
