"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Median","0.02285","0.018 to 0.029","10000","","variable"
NA,"Summary","0.02285","0.018 to 0.029",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
