"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Continuous","0.004645","0.0042 to 0.0051","1e+05","","variable"
NA,"Summary","0.004645","0.0042 to 0.0051",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
