"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.1348","0 to 0.27","1e+05","attainable floor","variable"
NA,"V02","0.1362","0 to 0.28","1e+05","attainable floor","variable"
NA,"V03","0.8074","0.7 to 0.92","1e+05","","variable"
NA,"V04","0.1356","0 to 0.27","1e+05","attainable floor","variable"
NA,"V05","0.1354","0 to 0.27","1e+05","attainable floor","variable"
NA,"V06","0.1349","0 to 0.27","1e+05","attainable floor","variable"
NA,"V07","0.1341","0 to 0.27","1e+05","attainable floor","variable"
NA,"Summary","0.00189","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
