statistic,rational_statistic,probability,rational_probability
1.5,3/2,0.2571428571428571,9/35
3.5,7/2,0.2571428571428571,9/35
5.0,5,0.12857142857142856,9/70
6.0,6,0.06428571428571428,9/140
6.5,13/2,0.21428571428571427,3/14
9.0,9,0.02142857142857143,3/140
9.5,19/2,0.04285714285714286,3/70
13.5,27/2,0.014285714285714285,1/70
