"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","A","0.4241","0.36 to 0.49","1e+05","","variable"
NA,"B","0.00485","0.0044 to 0.0053","1e+05","","variable"
NA,"Summary","0.0208","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
