"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.1229","0 to 0.25","1e+05","attainable floor","variable"
NA,"V02","0.1244","0 to 0.25","1e+05","attainable floor","variable"
NA,"V03","0.7673","0.65 to 0.88","1e+05","","variable"
NA,"V04","0.1245","0 to 0.25","1e+05","attainable floor","variable"
NA,"V05","0.1243","0 to 0.25","1e+05","attainable floor","variable"
NA,"V06","0.124","0 to 0.25","1e+05","attainable floor","variable"
NA,"V07","0.1242","0 to 0.25","1e+05","attainable floor","variable"
NA,"Summary","0.00086","0.00066 to 0.0011",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
