"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Category","0.4885","0.38 to 0.6","1000","","variable"
NA,"Summary","0.4885","0.38 to 0.6",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
