"case","kind","J","seed","keys","same_seed_null_draws_identical","reference_strict","reference_ties","reference_midp","reference_count_CI_lower","reference_count_CI_upper","observed_pattern_ties","engine_strict","engine_ties","ok","p","CI95","M","note"
"symmetric-continuous-J5","continuous",5,42,2,TRUE,674,6,0.677,0.643967010717149,0.708846289118651,6,680,0,TRUE,"0.68","","1000",""
"symmetric-continuous-J9","continuous",9,42,2,TRUE,253,3,0.2545,0.22631524866454,0.284242830101006,3,256,0,TRUE,"0.256","","1000",""
"symmetric-continuous-J14","continuous",14,42,2,TRUE,447,3,0.04485,0.0407329756439363,0.0492476571153042,3,450,0,TRUE,"0.045","","10000",""
"symmetric-direct-J5","direct",5,42,2,TRUE,603,5,0.6055,0.571908030449176,0.638402190974519,5,603,1,TRUE,"0.6035","","1000",""
"symmetric-direct-J9","direct",9,42,2,TRUE,194,1,0.1945,0.169921140947537,0.220939625392672,1,194,0,TRUE,"0.194","","1000",""
"symmetric-direct-J14","direct",14,42,2,TRUE,242,1,0.02425,0.021277332238935,0.0275100799722588,1,242,0,TRUE,"0.0242","","10000",""
"symmetric-median-J5","median",5,42,2,TRUE,423,118,0.0482,0.0384389609156037,0.0587152549866876,118,423,17,TRUE,"0.04315","","10000",""
"symmetric-median-J9","median",9,42,2,TRUE,151,52,0.00177,0.00127890387692075,0.00232893805609539,52,196,7,TRUE,"0.001995","","1e+05",""
"symmetric-median-J14","median",14,42,2,TRUE,0,0,0,0,3.68881141579242e-05,0,0,0,TRUE,"<0.0001","0 to 3.7e-05","1e+05",""
