"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.2858","0 to 0.58","10000","attainable floor","variable"
NA,"V02","0.2877","0 to 0.59","10000","attainable floor","variable"
NA,"V03","0.9903","0.98 to 1","10000","","variable"
NA,"V04","0.2814","0 to 0.57","10000","attainable floor","variable"
NA,"V05","0.2855","0 to 0.58","10000","attainable floor","variable"
NA,"V06","0.288","0 to 0.59","10000","attainable floor","variable"
NA,"V07","0.2881","0 to 0.59","10000","attainable floor","variable"
NA,"V08","0.2852","0 to 0.58","10000","attainable floor","variable"
NA,"V09","0.2834","0 to 0.58","10000","attainable floor","variable"
NA,"V10","0.2834","0 to 0.58","10000","attainable floor","variable"
NA,"V11","0.2862","0 to 0.58","10000","attainable floor","variable"
NA,"V12","0.2851","0 to 0.58","10000","attainable floor","variable"
NA,"V13","0.2888","0 to 0.59","10000","attainable floor","variable"
NA,"V14","0.2808","0 to 0.57","10000","attainable floor","variable"
NA,"Summary","0.0242","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
