"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Category","0.346","0 to 0.72","1000","","variable"
NA,"Summary","0.346","0 to 0.72",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
