statistic,rational_statistic,probability,rational_probability
1.2698412698412698,80/63,0.7,7/10
2.857142857142857,20/7,0.16666666666666666,1/6
6.031746031746032,380/63,0.1,1/10
7.619047619047619,160/21,0.03333333333333333,1/30
