"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.0391","0 to 0.08","1e+05","","variable"
NA,"V02","0.1038","0.076 to 0.13","1e+05","","variable"
NA,"V03","0.03905","0 to 0.08","1e+05","","variable"
NA,"Summary","0.00097","0.00037 to 0.0017",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
