"rows","planned_held_draws","ok","stage","seconds","actual_M","reason"
100,1e+07,TRUE,"analysis",1.78,"1000",""
101,10100000,FALSE,"analysis",0.13,"","trial T could not be analyzed: 101 of this trial's rows share a null law with another row; mapping them through one pooled distribution would need 10,100,000 draws at the final stage, above the 10,000,000 this analysis allows. A table of that shape is not a baseline table: split it, or remove the rows that repeat identical inputs"
