"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","V01","0.1839","0 to 0.37","1e+05","attainable floor","variable"
NA,"V02","0.1832","0 to 0.37","1e+05","attainable floor","variable"
NA,"V03","0.8786","0.81 to 0.95","1e+05","","variable"
NA,"V04","0.1836","0 to 0.37","1e+05","attainable floor","variable"
NA,"V05","0.1831","0 to 0.37","1e+05","attainable floor","variable"
NA,"V06","0.1834","0 to 0.37","1e+05","attainable floor","variable"
NA,"V07","0.1843","0 to 0.37","1e+05","attainable floor","variable"
NA,"Summary","0.01074","",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
