"file","test","passed","failed","errors","skipped","warnings","details"
"test-adaptive-m.R","unalarming rows stop at 1,000 replicates; alarming rows escalate",2,0,0,0,0,""
"test-adaptive-m.R","'<0.0001' appears only when the upper bound licenses it",5,0,0,0,0,""
"test-adaptive-m.R","every row carries its exact 95% Monte Carlo interval (2026-09-04)",5,0,0,0,0,""
"test-adaptive-m.R","the combined trial p is the exact combination: bounded, licensed, with its own interval",3,0,0,0,0,""
"test-adaptive-m.R","the exact combination judges tie-ridden rows by their own null (the 2026-09-04 correction)",6,0,0,0,0,""
"test-adaptive-m.R","the attainable-floor note appears only on rows that sit at their floor",4,0,0,0,0,""
"test-adaptive-m.R","mid-p point estimates are unchanged in spirit: direction holds",2,0,0,0,0,""
"test-adaptive-m.R","the direct draw reproduces the full simulation above the threshold (2026-09-05)",4,0,0,0,0,""
