"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"Audit","Continuous","0.004","0.0036 to 0.0044","1e+05","","variable"
NA,"Summary","0.004","0.0036 to 0.0044",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
