"TRIAL","ROW","P","CI95","M","NOTE","KIND"
"T","Category","0.01345","0 to 0.03","10000","","variable"
NA,"Summary","0.01345","0 to 0.03",NA,"","summary"
NA,NA,NA,NA,NA,NA,NA
