"endpoint","case","status","ok","template_trials","reported_trials","overallP","flags"
"parse","trial-id-200-delta-0.5",200,TRUE,2,NA,NA,""
"parse","trial-id-201-delta-0.5",200,TRUE,1,NA,NA,""
"parse","trial-id-template-201",200,TRUE,2,NA,NA,""
"analyze","trial-id-200-delta-0.5",200,TRUE,2,2,0.0714,""
"analyze","trial-id-201-delta-0.5",200,TRUE,1,1,0.0053,""
"analyze","trial-id-template-201",200,TRUE,2,2,0.0714,""
