"id","J","seed","flipped","exact","seconds","ok","p","CI95","M","note"
"J9-baseline-seed42",9,42,"",0.0111459494027611,4.5,TRUE,"0.01133","","1e+05",""
"J9-baseline-seed43",9,43,"",0.0111459494027611,1.78,TRUE,"0.01085","","10000",""
"J9-baseline-seed44",9,44,"",0.0111459494027611,3.58,TRUE,"0.01105","","1e+05",""
"J9-flip-extreme-seed42",9,42,"3",0.0111459494027611,3.61,TRUE,"0.01133","","1e+05",""
"J9-flip-extreme-seed43",9,43,"3",0.0111459494027611,0.359999999999999,TRUE,"0.01085","","10000",""
"J9-flip-extreme-seed44",9,44,"3",0.0111459494027611,3.86,TRUE,"0.01105","","1e+05",""
"J9-flip-ordinary-seed42",9,42,"1",0.0111459494027611,3.75,TRUE,"0.01133","","1e+05",""
"J9-flip-ordinary-seed43",9,43,"1",0.0111459494027611,0.370000000000001,TRUE,"0.01085","","10000",""
"J9-flip-ordinary-seed44",9,44,"1",0.0111459494027611,3.34,TRUE,"0.01105","","1e+05",""
"J9-flip-odd-seed42",9,42,"1;3;5;7;9",0.0111459494027611,3.46,TRUE,"0.01133","","1e+05",""
"J9-flip-odd-seed43",9,43,"1;3;5;7;9",0.0111459494027611,0.409999999999997,TRUE,"0.01085","","10000",""
"J9-flip-odd-seed44",9,44,"1;3;5;7;9",0.0111459494027611,4.06,TRUE,"0.01105","","1e+05",""
"J9-flip-all-seed42",9,42,"1;2;3;4;5;6;7;8;9",0.0111459494027611,3.73,TRUE,"0.01133","","1e+05",""
"J9-flip-all-seed43",9,43,"1;2;3;4;5;6;7;8;9",0.0111459494027611,0.280000000000001,TRUE,"0.01085","","10000",""
"J9-flip-all-seed44",9,44,"1;2;3;4;5;6;7;8;9",0.0111459494027611,3.56,TRUE,"0.01105","","1e+05",""
"J14-baseline-seed42",14,42,"",0.000519194541113967,5.41,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-baseline-seed43",14,43,"",0.000519194541113967,5.46,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-baseline-seed44",14,44,"",0.000519194541113967,5.5,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"J14-flip-extreme-seed42",14,42,"7",0.000519194541113967,5.66,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-flip-extreme-seed43",14,43,"7",0.000519194541113967,5.25,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-flip-extreme-seed44",14,44,"7",0.000519194541113967,5.2,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
"J14-flip-ordinary-seed42",14,42,"1",0.000519194541113967,5.56,TRUE,"0.00054","2.2e-05 to 0.0012","1e+05",""
"J14-flip-ordinary-seed43",14,43,"1",0.000519194541113967,5.5,TRUE,"0.00048","1.6e-05 to 0.0011","1e+05",""
"J14-flip-ordinary-seed44",14,44,"1",0.000519194541113967,5.96000000000001,TRUE,"0.00065","1.6e-05 to 0.0015","1e+05",""
